title,timestamp,bot,minor,length_old,length_new,len_diff,time_delta_sec,is_first_post,type_edit,type_log,type_new,ns_grouped_1,ns_grouped_14,ns_grouped_2,ns_grouped_3,ns_grouped_4,ns_grouped_others,title_len,is_revert,is_update,is_minor_fix,comment_len,user_activity_score,is_pro_editor,rev_diff,is_section_edit,comment_clean_len
0,2026-03-16 16:20:08,False,1,77336,77336,0,0.0,True,True,False,False,False,False,False,False,False,False,1,0,0,1,42,1,0,0,1,39
112th Grey Cup,2026-03-16 16:22:13,False,1,52533,52566,33,0.0,True,True,False,False,False,False,False,False,False,False,14,0,0,0,99,51,1,0,0,84
13th Illinois General Assembly,2026-03-16 16:23:28,False,1,24570,24571,1,0.0,True,True,False,False,False,False,False,False,False,False,30,0,0,1,57,28,0,0,1,54
13th Parliament of British Columbia,2026-03-16 16:23:42,False,1,12690,12690,0,0.0,True,True,False,False,False,False,False,False,False,False,35,0,0,1,60,28,0,0,1,57
13th Tripura Assembly,2026-03-16 16:23:39,False,0,19183,19427,244,0.0,True,True,False,False,False,False,False,False,False,False,21,0,0,0,37,4,0,0,1,32
13th Tripura Assembly,2026-03-16 16:27:19,False,0,19427,19454,27,220.0,False,True,False,False,False,False,False,False,False,False,21,0,0,0,37,4,0,0,1,32
13th Tripura Assembly,2026-03-16 16:28:12,False,0,19454,19454,0,53.0,False,True,False,False,False,False,False,False,False,False,21,0,0,0,37,4,0,0,1,32
13th Tripura Assembly,2026-03-16 16:29:00,False,0,19454,19518,64,48.0,False,True,False,False,False,False,False,False,False,False,21,0,0,0,37,4,0,0,1,32
17th Illinois General Assembly,2026-03-16 16:24:07,False,1,11657,11658,1,0.0,True,True,False,False,False,False,False,False,False,False,30,0,0,1,57,28,0,0,1,54
1889 Newfoundland general election,2026-03-16 16:24:45,False,1,19298,19299,1,0.0,True,True,False,False,False,False,False,False,False,False,34,0,0,1,72,28,0,0,1,69
1917–18 Huddersfield Town A.F.C. season,2026-03-16 16:32:35,False,0,6482,6976,494,0.0,True,True,False,False,False,False,False,False,False,False,39,0,1,0,33,13,0,0,0,29
1922–23 Huddersfield Town A.F.C. season,2026-03-16 16:17:58,False,0,16519,16818,299,0.0,True,True,False,False,False,False,False,False,False,False,39,0,1,0,36,13,0,0,0,32
1924 retreat from Chaoen,2026-03-16 16:30:45,False,0,9578,9582,4,0.0,True,True,False,False,False,False,False,False,False,False,24,0,0,0,30,1,0,0,1,23
1929 Salford City Council election,2026-03-16 16:21:41,False,0,17722,17725,3,0.0,True,True,False,False,False,False,False,False,False,False,34,0,0,0,13,2,0,0,1,8
1929 Salford City Council election,2026-03-16 16:25:31,False,0,17725,17726,1,230.0,False,True,False,False,False,False,False,False,False,False,34,0,0,0,12,2,0,0,1,7
1930 FIFA World Cup,2026-03-16 16:31:47,False,0,55510,55544,34,0.0,True,True,False,False,False,False,False,False,False,False,19,0,0,0,35,3,0,0,1,32
1935 Boston Redskins season,2026-03-16 16:24:31,False,0,6737,6706,-31,0.0,True,True,False,False,False,False,False,False,False,False,27,0,0,0,15,8,0,0,1,10
1935–36 Midwest Basketball Conference season,2026-03-16 16:24:55,False,1,22382,22383,1,0.0,True,True,False,False,False,False,False,False,False,False,44,0,0,1,57,28,0,0,1,54
1936 Boston Redskins season,2026-03-16 16:24:54,False,0,12115,12083,-32,0.0,True,True,False,False,False,False,False,False,False,False,27,0,0,0,15,8,0,0,1,10
1936 Boston Redskins season,2026-03-16 16:32:00,False,0,12083,11956,-127,426.0,False,True,False,False,False,False,False,False,False,False,27,0,0,0,14,8,0,0,1,9
1937 Washington Redskins season,2026-03-16 16:25:21,False,0,13111,13100,-11,0.0,True,True,False,False,False,False,False,False,False,False,31,0,0,0,14,8,0,0,1,9
1937 Washington Redskins season,2026-03-16 16:31:24,False,0,13100,12981,-119,363.0,False,True,False,False,False,False,False,False,False,False,31,0,0,0,14,8,0,0,1,9
1938 Washington Redskins season,2026-03-16 16:25:40,False,0,10370,10339,-31,0.0,True,True,False,False,False,False,False,False,False,False,31,0,0,0,15,8,0,0,1,10
1938 Washington Redskins season,2026-03-16 16:28:22,False,0,10339,10224,-115,162.0,False,True,False,False,False,False,False,False,False,False,31,0,0,0,14,8,0,0,1,9
1939 Washington Redskins season,2026-03-16 16:26:31,False,0,6587,6470,-117,0.0,True,True,False,False,False,False,False,False,False,False,31,0,0,0,14,8,0,0,1,9
1959 Fijian general election,2026-03-16 16:22:46,False,0,5386,5413,27,0.0,True,True,False,False,False,False,False,False,False,False,28,0,0,0,52,65,1,0,0,38
1967 Southport 24 Hour Race,2026-03-16 16:17:58,False,0,3720,3743,23,0.0,True,True,False,False,False,False,False,False,False,False,27,0,0,0,10,3,0,0,0,10
1968 Houston Astros season,2026-03-16 16:25:04,False,1,50792,50793,1,0.0,True,True,False,False,False,False,False,False,False,False,26,0,0,1,55,28,0,0,1,52
1968 student demonstrations in Yugoslavia,2026-03-16 16:25:49,False,0,5802,5893,91,0.0,True,True,False,False,False,False,False,False,False,False,41,0,0,0,10,2,0,0,0,10
1970–71 Paris Saint-Germain FC season,2026-03-16 16:19:53,False,0,34597,34619,22,0.0,True,True,False,False,False,False,False,False,False,False,37,0,0,0,11,7,0,0,1,6
1972 Summer Olympics,2026-03-16 16:24:45,False,1,70906,70908,2,0.0,True,True,False,False,False,False,False,False,False,False,20,0,1,0,38,3,0,0,0,38
1975 Copa Perú,2026-03-16 16:16:43,False,1,7646,7652,6,0.0,True,True,False,False,False,False,False,False,False,False,14,0,0,0,47,3,0,0,1,42
1977–78 Paris Saint-Germain FC season,2026-03-16 16:18:45,False,0,37114,37244,130,0.0,True,True,False,False,False,False,False,False,False,False,37,0,0,0,10,7,0,0,0,10
1977–78 Paris Saint-Germain FC season,2026-03-16 16:21:00,False,0,37244,37329,85,135.0,False,True,False,False,False,False,False,False,False,False,37,0,0,0,17,7,0,0,1,12
1977–78 Paris Saint-Germain FC season,2026-03-16 16:21:31,False,0,37329,37435,106,31.0,False,True,False,False,False,False,False,False,False,False,37,0,0,0,15,7,0,0,1,10
1977–78 Paris Saint-Germain FC season,2026-03-16 16:21:53,False,0,37435,37417,-18,22.0,False,True,False,False,False,False,False,False,False,False,37,0,0,0,14,7,0,0,1,9
1977–78 Paris Saint-Germain FC season,2026-03-16 16:23:58,False,0,37417,37574,157,125.0,False,True,False,False,False,False,False,False,False,False,37,0,0,0,27,7,0,0,1,22
1978–79 Paris Saint-Germain FC season,2026-03-16 16:30:21,False,0,37387,37852,465,0.0,True,True,False,False,False,False,False,False,False,False,37,0,0,0,10,7,0,0,0,10
1994–95 Orlando Magic season,2026-03-16 16:20:12,False,0,62090,73156,11066,0.0,True,True,False,False,False,False,False,False,False,False,28,0,0,0,33,1,0,0,0,33
"2-aminobenzenesulfonate 2,3-dioxygenase",2026-03-16 16:26:30,False,0,2723,2567,-156,0.0,True,True,False,False,False,False,False,False,False,False,39,0,0,0,39,1,0,0,0,39
2000 Paraguayan coup attempt,2026-03-16 16:19:48,False,0,6086,6142,56,0.0,True,True,False,False,False,False,False,False,False,False,28,0,0,0,93,65,1,0,0,71
2002 Arkansas gubernatorial election,2026-03-16 16:18:27,False,0,14880,14876,-4,0.0,True,True,False,False,False,False,False,False,False,False,36,0,0,0,29,1,0,0,0,29
2002 Fijian local elections,2026-03-16 16:22:58,False,0,6375,6351,-24,0.0,True,True,False,False,False,False,False,False,False,False,27,0,0,0,143,65,1,0,0,107
2002 Texas Tech Red Raiders football team,2026-03-16 16:26:38,False,0,13452,13462,10,0.0,True,True,False,False,False,False,False,False,False,False,41,0,0,0,12,1,0,0,1,7
2003 Pittsburgh Steelers season,2026-03-16 16:25:17,False,1,29672,29672,0,0.0,True,True,False,False,False,False,False,False,False,False,31,0,0,1,59,28,0,0,1,56
2005 Fijian local elections,2026-03-16 16:23:17,False,0,15700,15727,27,0.0,True,True,False,False,False,False,False,False,False,False,27,0,0,0,52,65,1,0,0,38
2007 West Virginia Mountaineers football team,2026-03-16 16:25:27,False,1,45960,45961,1,0.0,True,True,False,False,False,False,False,False,False,False,45,0,0,1,55,28,0,0,1,52
2009 24 Hours of Nürburgring,2026-03-16 16:22:13,False,1,66975,66977,2,0.0,True,True,False,False,False,False,False,False,False,False,28,0,0,0,10,1,0,0,0,10
2014 Swedish local elections,2026-03-16 16:25:06,False,0,3152,3179,27,0.0,True,True,False,False,False,False,False,False,False,False,28,0,0,0,125,65,1,0,0,121
2016 Burkina Faso coup attempt,2026-03-16 16:20:02,False,0,2932,2992,60,0.0,True,True,False,False,False,False,False,False,False,False,30,0,0,0,97,65,1,0,0,75
2017 PBA draft,2026-03-16 16:24:31,False,0,30678,30704,26,0.0,True,True,False,False,False,False,False,False,False,False,14,0,0,0,11,6,0,0,1,6
2022 Caspian seal die-off,2026-03-16 16:31:25,False,0,3464,3498,34,0.0,True,True,False,False,False,False,False,False,False,False,25,0,0,0,10,5,0,0,0,10
2022 South Dakota gubernatorial election,2026-03-16 16:16:50,False,0,56744,56741,-3,0.0,True,True,False,False,False,False,False,False,False,False,40,0,0,0,31,1,0,0,1,26
2024 Southport 24 Hour Race,2026-03-16 16:31:45,False,0,22265,22265,0,0.0,True,True,False,False,False,False,False,False,False,False,27,0,0,0,16,3,0,0,1,11
2024 in Japanese television,2026-03-16 16:19:07,False,0,90748,90751,3,0.0,True,True,False,False,False,False,False,False,False,False,27,0,0,0,105,1,0,0,1,112
2025 Albanian parliamentary election,2026-03-16 16:19:52,False,0,166520,166528,8,0.0,True,True,False,False,False,False,False,False,False,False,36,0,0,0,24,2,0,0,1,19
2025 Albanian parliamentary election,2026-03-16 16:27:12,False,0,166528,167023,495,440.0,False,True,False,False,False,False,False,False,False,False,36,0,0,0,30,2,0,0,1,25
2025 Campeonato Nacional de Fútbol de Cuba,2026-03-16 16:22:49,False,0,17850,18010,160,0.0,True,True,False,False,False,False,False,False,False,False,42,0,0,0,16,5,0,0,1,11
2025 Campeonato Nacional de Fútbol de Cuba,2026-03-16 16:24:08,False,0,18010,18240,230,79.0,False,True,False,False,False,False,False,False,False,False,42,0,0,0,19,5,0,0,1,16
2025 Campeonato Nacional de Fútbol de Cuba,2026-03-16 16:29:10,False,0,18240,18240,0,302.0,False,True,False,False,False,False,False,False,False,False,42,0,0,1,24,5,0,0,1,21
2025 MTV Video Music Awards,2026-03-16 16:21:40,False,1,38583,38616,33,0.0,True,True,False,False,False,False,False,False,False,False,27,0,0,0,99,51,1,0,0,84
2025 Southport 24 Hour Race,2026-03-16 16:32:18,False,0,15466,15466,0,0.0,True,True,False,False,False,False,False,False,False,False,27,0,0,0,10,3,0,0,0,10
2025–26 AFC Ajax season,2026-03-16 16:27:14,False,0,70393,70411,18,0.0,True,True,False,False,False,False,False,False,False,False,23,0,0,0,13,1,0,0,1,8
2025–26 Alabama Crimson Tide men's basketball team,2026-03-16 16:29:21,False,0,40554,40556,2,0.0,True,True,False,False,False,False,False,False,False,False,50,0,0,0,10,24,0,0,0,10
2025–26 Arizona Wildcats men's basketball team,2026-03-16 16:18:58,False,0,83171,83158,-13,0.0,True,True,False,False,False,False,False,False,False,False,46,0,0,0,37,24,0,0,1,32
2025–26 Arizona Wildcats men's basketball team,2026-03-16 16:19:35,False,0,83158,83179,21,37.0,False,True,False,False,False,False,False,False,False,False,46,0,0,0,14,24,0,0,1,9
2025–26 Arkansas Razorbacks men's basketball team,2026-03-16 16:30:14,False,0,36519,36521,2,0.0,True,True,False,False,False,False,False,False,False,False,49,0,0,0,10,24,0,0,0,10
2025–26 Eastern Kentucky Colonels women's basketball team,2026-03-16 16:20:59,False,0,24457,24511,54,0.0,True,True,False,False,False,False,False,False,False,False,57,0,0,0,10,12,0,0,0,10
2025–26 Gonzaga Bulldogs men's basketball team,2026-03-16 16:31:32,False,0,37968,37970,2,0.0,True,True,False,False,False,False,False,False,False,False,46,0,0,0,10,24,0,0,0,10
2025–26 Greek Football Cup,2026-03-16 16:31:58,False,1,60736,60759,23,0.0,True,True,False,False,False,False,False,False,False,False,26,0,0,0,21,21,0,0,1,18
2025–26 Harvard Crimson women's basketball team,2026-03-16 16:21:37,False,0,25891,25945,54,0.0,True,True,False,False,False,False,False,False,False,False,47,0,0,0,10,12,0,0,0,10
2025–26 Illinois Fighting Illini men's basketball team,2026-03-16 16:31:09,False,0,41601,41604,3,0.0,True,True,False,False,False,False,False,False,False,False,54,0,0,0,10,24,0,0,0,10
2025–26 Indian Super League,2026-03-16 16:23:12,False,0,45686,45712,26,0.0,True,True,False,False,False,False,False,False,False,False,27,0,0,0,10,9,0,0,0,10
2025–26 Indian Super League,2026-03-16 16:26:21,False,0,45712,45713,1,189.0,False,True,False,False,False,False,False,False,False,False,27,0,0,0,23,9,0,0,1,18
2025–26 Indian Super League,2026-03-16 16:28:29,False,0,45713,45713,0,128.0,False,True,False,False,False,False,False,False,False,False,27,0,0,0,10,9,0,0,1,5
2025–26 Indian Super League,2026-03-16 16:28:49,False,0,45713,45713,0,20.0,False,True,False,False,False,False,False,False,False,False,27,0,0,0,20,9,0,0,1,15
