id,type,namespace,title,comment,timestamp,user,bot,minor,revision,wiki,parsedcomment,length_old,length_new,len_diff,time_delta,time_delta_sec
2006463185.0,edit,0,0,/* India */ Fix unnecessary capitalization,2026-03-16 16:20:08,Finalthunder526,False,1.0,"{'old': 1343815868, 'new': 1343821620}",enwiki,"<span class=""autocomment""><a href=""/wiki/0#India"" title=""0"">→<bdi dir=""ltr"">India</bdi></a>: </span> Fix unnecessary capitalization",77336,77336,0,,0.0
2006463687.0,edit,0,112th Grey Cup,v2.05 - Repaired 1 link to disambiguation page - [[WP:DPL|(You can help)]] - [[Lonely Road (song)]],2026-03-16 16:22:13,Tassedethe,False,1.0,"{'old': 1341789728, 'new': 1343821947}",enwiki,"v2.05 - Repaired 1 link to disambiguation page - <a href=""/wiki/Wikipedia:DPL"" class=""mw-redirect"" title=""Wikipedia:DPL"">(You can help)</a> - <a href=""/wiki/Lonely_Road_(song)"" class=""mw-redirect"" title=""Lonely Road (song)"">Lonely Road (song)</a>",52533,52566,33,,0.0
2006463917.0,edit,0,13th Illinois General Assembly,"/* House */ Typo fixing, replaced: politican → politician",2026-03-16 16:23:28,John of Reading,False,1.0,"{'old': 1331192330, 'new': 1343822102}",enwiki,"<span class=""autocomment""><a href=""/wiki/13th_Illinois_General_Assembly#House"" title=""13th Illinois General Assembly"">→<bdi dir=""ltr"">House</bdi></a>: </span> Typo fixing, replaced: politican → politician",24570,24571,1,,0.0
2006463974.0,edit,0,13th Parliament of British Columbia,"/* top */ Typo fixing, replaced: polititian → politician (2)",2026-03-16 16:23:42,John of Reading,False,1.0,"{'old': 1327982618, 'new': 1343822137}",enwiki,"<span class=""autocomment""><a href=""/wiki/13th_Parliament_of_British_Columbia#top"" title=""13th Parliament of British Columbia"">→<bdi dir=""ltr"">top</bdi></a>: </span> Typo fixing, replaced: polititian → politician (2)",12690,12690,0,,0.0
2006463962.0,edit,0,13th Tripura Assembly,/* Members of Legislative Assembly */,2026-03-16 16:23:39,~2026-13797-11,False,0.0,"{'old': 1343820321, 'new': 1343822125}",enwiki,"<span class=""autocomment""><a href=""/wiki/13th_Tripura_Assembly#Members_of_Legislative_Assembly"" title=""13th Tripura Assembly"">→<bdi dir=""ltr"">Members of Legislative Assembly</bdi></a></span>",19183,19427,244,,0.0
2006464752.0,edit,0,13th Tripura Assembly,/* Members of Legislative Assembly */,2026-03-16 16:27:19,~2026-13797-11,False,0.0,"{'old': 1343822125, 'new': 1343822632}",enwiki,"<span class=""autocomment""><a href=""/wiki/13th_Tripura_Assembly#Members_of_Legislative_Assembly"" title=""13th Tripura Assembly"">→<bdi dir=""ltr"">Members of Legislative Assembly</bdi></a></span>",19427,19454,27,0 days 00:03:40,220.0
2006464940.0,edit,0,13th Tripura Assembly,/* Members of Legislative Assembly */,2026-03-16 16:28:12,~2026-13797-11,False,0.0,"{'old': 1343822632, 'new': 1343822752}",enwiki,"<span class=""autocomment""><a href=""/wiki/13th_Tripura_Assembly#Members_of_Legislative_Assembly"" title=""13th Tripura Assembly"">→<bdi dir=""ltr"">Members of Legislative Assembly</bdi></a></span>",19454,19454,0,0 days 00:00:53,53.0
2006465123.0,edit,0,13th Tripura Assembly,/* Members of Legislative Assembly */,2026-03-16 16:29:00,~2026-13797-11,False,0.0,"{'old': 1343822752, 'new': 1343822850}",enwiki,"<span class=""autocomment""><a href=""/wiki/13th_Tripura_Assembly#Members_of_Legislative_Assembly"" title=""13th Tripura Assembly"">→<bdi dir=""ltr"">Members of Legislative Assembly</bdi></a></span>",19454,19518,64,0 days 00:00:48,48.0
2006464070.0,edit,0,17th Illinois General Assembly,"/* House */ Typo fixing, replaced: politican → politician",2026-03-16 16:24:07,John of Reading,False,1.0,"{'old': 1326342229, 'new': 1343822194}",enwiki,"<span class=""autocomment""><a href=""/wiki/17th_Illinois_General_Assembly#House"" title=""17th Illinois General Assembly"">→<bdi dir=""ltr"">House</bdi></a>: </span> Typo fixing, replaced: politican → politician",11657,11658,1,,0.0
2006464168.0,edit,0,1889 Newfoundland general election,"/* Eastern Newfoundland */ Typo fixing, replaced: politican → politician",2026-03-16 16:24:45,John of Reading,False,1.0,"{'old': 1343360082, 'new': 1343822255}",enwiki,"<span class=""autocomment""><a href=""/wiki/1889_Newfoundland_general_election#Eastern_Newfoundland"" title=""1889 Newfoundland general election"">→<bdi dir=""ltr"">Eastern Newfoundland</bdi></a>: </span> Typo fixing, replaced: politican → politician",19298,19299,1,,0.0
