id,type,namespace,title,comment,timestamp,user,bot,minor,revision,wiki,parsedcomment,length_old,length_new,len_diff,time_delta,time_delta_sec
2010138276.0,edit,0,1942–43 Chicago Studebaker Flyers season,/* Roster */,2026-03-27 11:08:25,QBKennedy,False,0.0,"{'old': 1336285890, 'new': 1345663709}",enwiki,"<span class=""autocomment""><a href=""/wiki/1942%E2%80%9343_Chicago_Studebaker_Flyers_season#Roster"" title=""1942–43 Chicago Studebaker Flyers season"">→<bdi dir=""ltr"">Roster</bdi></a></span>",16806,17336,530,,0.0
2010138385.0,edit,0,1945–46 Oshkosh All-Stars season,,2026-03-27 11:08:45,QBKennedy,False,1.0,"{'old': 1345571795, 'new': 1345663755}",enwiki,,25058,25038,-20,,0.0
2010138231.0,edit,0,1969–70 SM-sarja season,Added a reference. ([[WP:MAR26]]),2026-03-27 11:08:14,Omegarightarrow,False,0.0,"{'old': 1277243897, 'new': 1345663681}",enwiki,"Added a reference. (<a href=""/wiki/Wikipedia:MAR26"" class=""mw-redirect"" title=""Wikipedia:MAR26"">WP:MAR26</a>)",2383,2821,438,,0.0
2010137704.0,edit,0,1976 Quaid-e-Azam International Tournament,,2026-03-27 11:04:33,JayFT047,False,0.0,"{'old': 1345576933, 'new': 1345663404}",enwiki,,11404,11413,9,,0.0
2010137736.0,edit,0,1982 Quaid-e-Azam International Tournament,,2026-03-27 11:04:46,JayFT047,False,0.0,"{'old': 1343353426, 'new': 1345663418}",enwiki,,33531,33540,9,,0.0
2010137772.0,edit,0,1982 Quaid-e-Azam International Tournament,/* Pakistan Blues */,2026-03-27 11:05:01,JayFT047,False,0.0,"{'old': 1345663418, 'new': 1345663440}",enwiki,"<span class=""autocomment""><a href=""/wiki/1982_Quaid-e-Azam_International_Tournament#Pakistan_Blues"" title=""1982 Quaid-e-Azam International Tournament"">→<bdi dir=""ltr"">Pakistan Blues</bdi></a></span>",33540,33548,8,0 days 00:00:15,15.0
2010137759.0,edit,0,1982–83 Liga Española de Baloncesto,/* Title match */,2026-03-27 11:04:56,JeremiasMad,False,0.0,"{'old': 1275546020, 'new': 1345663435}",enwiki,"<span class=""autocomment""><a href=""/wiki/1982%E2%80%9383_Liga_Espa%C3%B1ola_de_Baloncesto#Title_match"" title=""1982–83 Liga Española de Baloncesto"">→<bdi dir=""ltr"">Title match</bdi></a></span>",5413,5411,-2,,0.0
2010137834.0,edit,0,1982–83 Liga Española de Baloncesto,/* Notes */,2026-03-27 11:05:30,JeremiasMad,False,0.0,"{'old': 1345663435, 'new': 1345663477}",enwiki,"<span class=""autocomment""><a href=""/wiki/1982%E2%80%9383_Liga_Espa%C3%B1ola_de_Baloncesto#Notes"" title=""1982–83 Liga Española de Baloncesto"">→<bdi dir=""ltr"">Notes</bdi></a></span>",5411,5410,-1,0 days 00:00:34,34.0
2010134868.0,edit,0,1989 FA Charity Shield,/* Details */,2026-03-27 10:56:24,Sisao25,False,0.0,"{'old': 1345005942, 'new': 1345662606}",enwiki,"<span class=""autocomment""><a href=""/wiki/1989_FA_Charity_Shield#Details"" title=""1989 FA Charity Shield"">→<bdi dir=""ltr"">Details</bdi></a></span>",19687,19687,0,,0.0
2010136066.0,edit,0,1994 European Parliament election in Greece,/* Notes */,2026-03-27 10:59:20,Argybz,False,0.0,"{'old': 1235310469, 'new': 1345662929}",enwiki,"<span class=""autocomment""><a href=""/wiki/1994_European_Parliament_election_in_Greece#Notes"" title=""1994 European Parliament election in Greece"">→<bdi dir=""ltr"">Notes</bdi></a></span>",5103,11516,6413,,0.0
